App_Transaction_Id,Internal_Member_Id,Location_External_Reference,Transaction_Type_Id,Transaction_Timestamp,Activity_Timestamp,Activity_App_Date,Transaction_Retail_Value,Transaction_Profit_Value,Transaction_Base_Point_Value,Transaction_Point_Value,Transaction_Won_Value,Event_Name,Issue_Audit_User,Transaction_External_Reference,Cancel_Timestamp,Cancel_Audit
53481455,PC7135361,MOBILEAPP,17,49:08.5,49:08.5,21-07-2017,Rs. 0.00,Rs. 0.00,Rs. 20.00,Rs. 20.00,Rs. 0.00,,InfoSys,,,
53481542,PC7135361,WEB,17,50:17.5,50:17.5,21-07-2017,Rs. 0.00,Rs. 0.00,Rs. 54.00,Rs. 54.00,Rs. 0.00,,Proximity,,,
53481518,PC7135361,MOBILE,17,49:55.6,49:55.6,21-07-2017,Rs. 0.00,Rs. 0.00,Rs. 10.00,Rs. 10.00,Rs. 0.00,,InfoSys,,,
53481522,PC7135361,MOBILEAPP,17,49:58.4,49:58.4,21-07-2017,Rs. 0.00,Rs. 0.00,Rs. 36.00,Rs. 36.00,Rs. 0.00,,InfoSys,,,
53481588,PC7135361,MOBILE,17,50:44.6,50:44.6,21-07-2017,Rs. 0.00,Rs. 0.00,Rs. 36.00,Rs. 36.00,Rs. 0.00,,InfoSys,,,
53481441,PC7135361,MOBILE,17,49:00.0,49:00.0,21-07-2017,Rs. 0.00,Rs. 0.00,Rs. 36.00,Rs. 36.00,Rs. 0.00,,InfoSys,,,
53481440,PC7135361,MOBILEAPP,21,49:00.0,22-07-2017 04:48,22-07-2017,Rs. 0.00,Rs. 0.00,Rs. 10.00,Rs. 60.00,Rs. 0.00,,InfoSys,W9GPTTCNWYCF4FC,,
53481564,PC6890261,MOBILEAPP,17,50:32.8,50:32.8,21-07-2017,Rs. 0.00,Rs. 0.00,Rs. 10.00,Rs. 10.00,Rs. 0.00,,InfoSys,,,
53481437,PC6890261,MOBILEAPP,17,48:54.9,48:54.9,21-07-2017,Rs. 0.00,Rs. 0.00,Rs. 36.00,Rs. 36.00,Rs. 0.00,,InfoSys,,,
53481572,PC6890261,MOBILEAPP,21,50:35.0,22-07-2017 04:50,22-07-2017,Rs. 0.00,Rs. 0.00,Rs. 40.00,Rs. 90.00,Rs. 0.00,,InfoSys,JPRCWR3PPPC3FJ3,,
53481580,PC6890261,MOBILE,17,50:40.2,50:40.1,21-07-2017,Rs. 0.00,Rs. 0.00,Rs. 5.00,Rs. 5.00,Rs. 0.00,,InfoSys,,,
53481448,I032994377S,MOBILE,21,49:02.6,22-07-2017 04:49,22-07-2017,Rs. 0.00,Rs. 0.00,Rs. 10.00,Rs. 10.00,Rs. 0.00,,InfoSys,Y4TFFGHRRRRXH9Y,,
53481586,I032994377S,MOBILE,21,50:44.0,22-07-2017 04:50,22-07-2017,Rs. 0.00,Rs. 0.00,Rs. 10.00,Rs. 10.00,Rs. 0.00,,InfoSys,YWGTFH7X9YRFX4R,,
53481556,I032994377S,MOBILEAPP,21,50:28.4,22-07-2017 04:50,22-07-2017,Rs. 0.00,Rs. 0.00,Rs. 40.00,Rs. 40.00,Rs. 0.00,,InfoSys,TRG4T7F9WJ49J63,,
53481456,I032994377S,MOBILEAPP,21,49:09.1,22-07-2017 04:49,22-07-2017,Rs. 0.00,Rs. 0.00,Rs. 40.00,Rs. 40.00,Rs. 0.00,,InfoSys,TRG4T7F964HJTFC,,
53481577,I032994377S,MOBILE,17,50:38.5,50:38.5,21-07-2017,Rs. 0.00,Rs. 0.00,Rs. 10.00,Rs. 10.00,Rs. 0.00,,InfoSys,,,
